Date,Close/Last,Volume,Open,High,Low
10/21/2021,107.52,3769028,107.66,107.72,107.51
10/20/2021,107.79,1666047,107.80,107.8261,107.7505
10/19/2021,107.77,1020014,107.79,107.82,107.74
10/18/2021,107.85,1008227,107.71,107.85,107.675
10/15/2021,107.92,974885,107.98,108.04,107.88
10/14/2021,108.10,1499587,108.04,108.10,107.86
10/13/2021,107.97,1176939,107.79,107.985,107.79
10/12/2021,107.85,911639,107.80,107.87,107.764
10/11/2021,107.72,827537,107.80,107.82,107.72
10/08/2021,107.82,1174965,108.05,108.05,107.81
10/07/2021,107.95,1402060,108.00,108.0282,107.94
10/06/2021,108.11,1661710,108.111,108.14,108.08
10/05/2021,108.14,880796,108.26,108.27,108.12
10/04/2021,108.32,4386063,108.28,108.35,108.0601
10/01/2021,108.28,1372356,108.20,108.31,108.09
09/30/2021,108.14,1228412,108.02,108.15,108.00
09/29/2021,108.03,1136828,108.07,108.1069,107.975
09/28/2021,107.99,1692876,107.94,108.00,107.89
09/27/2021,108.09,746754,108.12,108.16,108.07
09/24/2021,108.18,1003404,108.09,108.21,107.99
09/23/2021,108.16,807884,108.33,108.33,108.14
09/22/2021,108.44,1046825,108.50,108.54,108.38
09/21/2021,108.53,718147,108.59,108.59,108.50
09/20/2021,108.56,778186,108.52,108.59,108.49
09/17/2021,108.45,808099,108.46,108.46,108.385
09/16/2021,108.50,447461,108.60,108.60,108.48
09/15/2021,108.63,1084876,108.655,108.705,108.60
09/14/2021,108.64,1589536,108.66,108.7199,108.63
09/13/2021,108.60,2594197,108.55,108.64,108.55
09/10/2021,108.57,550755,108.56,108.60,108.5216
09/09/2021,108.62,892102,108.56,108.64,108.535
09/08/2021,108.57,1154109,108.58,108.64,108.52
09/07/2021,108.49,1326968,108.51,108.54,108.46
09/03/2021,108.53,613518,108.53,108.55,108.47
09/02/2021,108.54,942306,108.53,108.56,108.50
09/01/2021,108.50,792449,108.54,108.55,108.47
08/31/2021,108.59,576700,108.63,108.65,108.58
08/30/2021,108.62,771472,108.53,108.6466,108.53
08/27/2021,108.60,615205,108.45,108.60,108.40
08/26/2021,108.42,975859,108.47,108.47,108.3805
08/25/2021,108.46,3356041,108.45,108.55,108.42
08/24/2021,108.44,719087,108.49,108.52,108.43
08/23/2021,108.48,808516,108.38,108.48,108.34
08/20/2021,108.41,637703,108.44,108.46,108.3501
08/19/2021,108.44,1231067,108.45,108.49,108.42
08/18/2021,108.43,750996,108.37,108.43,108.341
08/17/2021,108.36,869491,108.41,108.4799,108.36
08/16/2021,108.51,1031919,108.502,108.58,108.442
08/13/2021,108.53,878267,108.38,108.53,108.375
08/12/2021,108.38,953120,108.40,108.44,108.36
08/11/2021,108.43,1037382,108.30,108.44,108.28
08/10/2021,108.30,1171877,108.33,108.35,108.27
08/09/2021,108.38,1082204,108.53,108.55,108.36
08/06/2021,108.42,1443376,108.51,108.52,108.42
08/05/2021,108.62,920383,108.75,108.76,108.4879
08/04/2021,108.77,2968617,108.78,108.8163,108.60
08/03/2021,108.74,776087,108.81,108.83,108.74
08/02/2021,108.73,749231,108.66,108.78,108.66
07/30/2021,108.69,599293,108.70,108.72,108.67
07/29/2021,108.67,1248661,108.72,108.7299,108.64
07/28/2021,108.71,2837154,108.62,108.72,108.53
07/27/2021,108.635,1944381,108.55,108.66,108.54
07/26/2021,108.56,1925926,108.62,108.64,108.56
07/23/2021,108.63,3744837,108.63,108.64,108.56
07/22/2021,108.53,1453699,108.40,108.57,108.40
07/21/2021,108.37,2135326,108.51,108.52,108.37
07/20/2021,108.56,1881365,108.69,108.69,108.54
07/19/2021,108.62,1738466,108.59,108.665,108.56
07/16/2021,108.45,972424,108.44,108.49,108.39
07/15/2021,108.49,973960,108.45,108.50,108.38
07/14/2021,108.40,1567602,108.278,108.42,108.26
07/13/2021,108.17,3069234,108.24,108.30,108.161
07/12/2021,108.28,4258766,108.29,108.31,108.23
07/09/2021,108.27,2716786,108.33,108.35,108.25
07/08/2021,108.50,1813892,108.45,108.545,108.44
07/07/2021,108.37,1522548,108.33,108.41,108.29
07/06/2021,108.36,1484344,108.26,108.40,108.19
07/02/2021,108.16,1105247,108.15,108.21,108.145
07/01/2021,108.05,1088233,108.03,108.08,107.99
06/30/2021,108.23,2532697,108.26,108.26,108.18
06/29/2021,108.20,4194523,108.19,108.25,108.175
06/28/2021,108.24,1764060,108.16,108.24,108.13
06/25/2021,108.07,1465667,108.15,108.15,108.07
06/24/2021,108.16,1508405,108.14,108.2042,108.14
06/23/2021,108.09,6632084,108.17,108.20,108.08
06/22/2021,108.16,661105,108.0465,108.16,108.0465
06/21/2021,108.00,659934,108.00,108.06,107.97
06/18/2021,108.12,1392746,108.04,108.135,107.94
06/17/2021,108.14,1347928,108.04,108.18,108.02
06/16/2021,107.91,1143145,108.32,108.35,107.91
06/15/2021,108.31,1226542,108.34,108.34,108.31
06/14/2021,108.34,1068539,108.38,108.38,108.31
06/11/2021,108.46,611295,108.55,108.55,108.44
06/10/2021,108.54,595599,108.41,108.55,108.3831
06/09/2021,108.45,1153047,108.42,108.48,108.40
06/08/2021,108.36,723466,108.42,108.45,108.36
06/07/2021,108.31,687697,108.36,108.36,108.31
06/04/2021,108.38,1194488,108.30,108.42,108.30
06/03/2021,108.20,834249,108.21,108.21,108.155
06/02/2021,108.24,901321,108.26,108.29,108.21
06/01/2021,108.22,841875,108.12,108.23,108.11
05/28/2021,108.37,911256,108.31,108.37,108.31
05/27/2021,108.32,1367722,108.40,108.42,108.30
05/26/2021,108.47,1285790,108.44,108.53,108.41
05/25/2021,108.58,721376,108.46,108.58,108.46
05/24/2021,108.44,837776,108.38,108.44,108.36
05/21/2021,108.38,813186,108.29,108.38,108.27
05/20/2021,108.30,1773165,108.28,108.34,108.26
05/19/2021,108.19,1316613,108.27,108.41,108.1801
05/18/2021,108.30,1133315,108.27,108.32,108.25
05/17/2021,108.26,1181616,108.36,108.39,108.26
05/14/2021,108.40,895494,108.38,108.40,108.35
05/13/2021,108.31,1307561,108.28,108.34,108.27
05/12/2021,108.14,1536155,108.19,108.25,108.14
05/11/2021,108.45,1643326,108.49,108.50,108.44
